1739	8	3	7.85
127	671	5	5.85
303	146	13	29.81
8958	7003	3	50.78
101	24453	4	19.31
1381	884	3	22.41
8801	109	3	11.25
852	13969	3	40.11
4237	109	5	14.49
160	220	13	25.37
101	307	72	18.53
693	9	7	16.76
105	1607	14	20.5
102	5451	13	45.4
2489	109	14	52.22
413	872	20	178.29
101	6720	6	8.68
859	243	3	11.06
1	7	20	72.9
4273	102	11	27.4
789	366	7	44.14
12	2379	12	8.97
105	3980	6	10.47
104	3864	18	63.76
101	2742	54	212.87
28194	86	3	37.01
134	661	5	7.89
12	389	78	58.3
8829	102	21	151.21
4610	109	3	6.42
423	103	50	55.37
1607	1045	3	24.47
1029	159	9	40.08
6147	3042	3	40.96
134	18382	3	25.35
211	229	13	41.71
156	1613	3	9.55
685	134	7	15.26
14180	12	3	6.61
2795	403	4	32.51
275	187	7	14.05
808	232	10	57.74
901	146	3	5.01
1953	12	12	5.53
2626	122	3	7.23
514	163	3	4.1
7434	8	3	17.99
179	131	17	9.9
8	28126	3	31.99
575	121	8	10.3
456	20096	3	39.56
2969	101	24	52.5
925	103	16	9.46
102	6406	16	71.73
6136	107	3	8.13
5807	14	6	8.05
105	2560	6	5.79
251	252	5	10.61
4544	24573	5	107.2
130	2966	3	9.41
129	115	367	1091.22
104	577	27	17.39
101	1444	24	19.24
599	273	4	15.39
105	2841	7	9.57
8715	101	8	21.81
129	955	14	51.89
134	2078	4	13.27
104	730	16	5.15
186	503	3	5.25
101	1661	30	42.05
1202	8	3	5.77
161	4367	4	24.69
105	6563	3	4.89
4024	110	56	528.94
12597	103	4	14.37
274	3574	3	21.2
105	18191	4	20.37
332	359	5	19.64
154	2938	3	12.91
9768	104	13	76.51
778	103	45	85.66
3851	14	9	10.54
814	143	4	7.71
3781	2418	35	625.81
5117	200	4	29.97
13626	12	3	6.09
455	2389	3	21.99
3617	117	5	18.4
2842	518	3	23.98
1788	108	5	5.87
109	1281	11	21.02
2002	215	3	15.27
101	24883	3	11.63
110	6803	4	15.35
851	1250	38	477.31
115	856	12	27.91
145	2065	7	33.67
106	19048	5	32.17
7838	103	3	5.41
232	5724	4	33.34
207	4472	3	20.34
10077	4475	3	48.22
971	2089	3	25.58
8	39480	3	36.48
4386	6799	3	44.44
1125	5675	3	33.87
12	11621	4	9.19
1070	1012	3	21.61
1159	126	4	6.79
173	3007	3	14.82
101	13857	3	6.06
297	358	4	12.89
854	177	8	34.14
258	260	4	7.75
109	3668	5	12.9
10804	12	3	4.5
2779	14	19	34.97
167	140	15	9.61
136	123	204	574.36
322	2441	3	20.14
1009	533	29	302.75
3122	114	5	16.22
403	470	5	24.1
107	3130	7	19.36
228	12	107	29.67
136	1848	4	12.32
2681	124	4	12.48
1150	425	4	25.08
138	1600	6	21.81
290	2153	3	18.32
193	1530	5	24.73
396	151	6	9.77
6021	203	5	42.39
2090	212	5	30.39
118	632	59	292.1
204	350	9	31.55
173	1181	5	19.7
101	13167	3	5.56
203	1102	5	22.91
101	14820	8	38.62
23219	102	6	43.2
268	106	31	6.43
9831	101	5	10.29
5704	152	4	25.24
1000	161	6	22.46
18333	104	3	12.16
111	3825	7	26.91
291	151	76	431.7
140	271	15	30.32
166	340	4	5.03
640	213	7	30.28
1626	115	8	22.3
11440	7389	3	53.15
4111	125	3	10.47
8780	104	3	6.14
318	4383	3	24.09
128	37283	3	34.51
111	10945	7	48.77
4161	14	6	4.24
2114	105	10	13.86
138	11231	3	21.16
195	8547	3	24.4
2404	942	3	26.47
101	36923	3	18.16
272	212	7	17.92
779	273	4	17.51
6340	121	3	13.04
2793	294	40	499.03
101	17173	3	8.07
16	285	7	9.92
4905	101	11	19.91
6951	103	5	11.96
33818	21510	3	78.44
113	8826	3	13.82
115	8562	3	14.19
418	126	10	15.51
33481	12	3	18.78
2110	12	113	654.86
3128	102	22	69.32
104	4211	4	3.87
253	7155	5	48.13
103	4863	4	4.94
101	1902	31	52.93
130	290	86	417.86
1648	106	8	6.93
281	531	37	301.35
5293	124	3	12.24
1620	105	17	30.64
3664	14	16	33.22
101	1206	26	17.13
131	649	8	16.86
105	2255	12	21.86
413	1320	5	34.69
1086	2557	8	90.4
105	4894	12	43.05
1016	1627	7	68.72
538	407	4	18.6
3100	109	4	7.42
306	897	3	13.51
3367	141	3	12.31
332	943	4	21.45
747	3858	12	148.58
154	255	7	7.49
11714	105	9	52.38
3691	104	8	14.68
111	10584	3	14.48
105	22366	5	33.76
1060	108	16	35.1
2086	106	11	19.04
101	40800	3	18.16
781	121	5	5.28
